-180,135.0,90.0,135.0,0.0,0.0,45.0,0.0,0.0,90.0,45.0,112.5,157.5,-135.0,-112.5,-90.0,-67.5,-22.5,-45.0,-22.5,0.0,0.0,22.5,135.0,157.5,-180,-180,-157.5,-135.0,-112.5,-90.0,-67.5,112.5,90.0,112.5,45.0,45.0,67.5,67.5,78.75,67.5,78.75,90.0,101.25,90.0,101.25,135.0,90.0,135.0,-90.0,-45.0,-90.0,-45.0,-180,-135.0,-180,-135.0,67.5,78.75,67.5,78.75,90.0,101.25,90.0,101.25,90.0,101.25,90.0,101.25,112.5,123.75,112.5,123.75,45.0,56.25,45.0,56.25,67.5,78.75,67.5,78.75,112.5,123.75,112.5,123.75,45.0,56.25,45.0,56.25,90.0,101.25,90.0,101.25,67.5,78.75,67.5,78.75,135.0,146.25,135.0,146.25,22.5,33.75,22.5,33.75,-90.0,-78.75,-90.0,-78.75,0.0,11.25,0.0,11.25,157.5,168.75,157.5,168.75,112.5,123.75,112.5,123.75,135.0,146.25,135.0,146.25,22.5,33.75,22.5,33.75,-22.5,-11.25,-22.5,-11.25,157.5,168.75,157.5,168.75,-112.5,-101.25,-112.5,-101.25,-157.5,-146.25,-157.5,-146.25,45.0,56.25,45.0,56.25,-112.5,-101.25,-112.5,-101.25,-180,-168.75,-180,-168.75,-90.0,-78.75,-90.0,-78.75,-157.5,-146.25,-157.5,-146.25,-22.5,-11.25,-22.5,-11.25,-135.0,-123.75,-135.0,-123.75,-45.0,-33.75,-45.0,-33.75,-180,-168.75,-180,-168.75,0.0,11.25,0.0,11.25,-45.0,-33.75,-45.0,-33.75,-67.5,-56.25,-67.5,-56.25,-135.0,-123.75,-135.0,-123.75,-67.5,-56.25,-67.5,-56.25,90.0,112.5,90.0,112.5,135.0,146.25,135.0,146.25,-45.0,-33.75,-45.0,-33.75,90.0,101.25,90.0,101.25,22.5,33.75,22.5,33.75,67.5,78.75,67.5,78.75,-157.5,-146.25,-157.5,-146.25
0.0,180,135.0,180,45.0,45.0,90.0,90.0,90.0,180,67.5,135.0,180,-112.5,-90.0,-67.5,-45.0,0.0,-22.5,0.0,22.5,22.5,45.0,157.5,180,-157.5,-157.5,-135.0,-112.5,-90.0,-67.5,-45.0,135.0,112.5,135.0,67.5,67.5,90.0,78.75,90.0,78.75,90.0,101.25,112.5,101.25,112.5,180,135.0,180,-45.0,0.0,-45.0,0.0,-135.0,-90.0,-135.0,-90.0,78.75,90.0,78.75,90.0,101.25,112.5,101.25,112.5,101.25,112.5,101.25,112.5,123.75,135.0,123.75,135.0,56.25,67.5,56.25,67.5,78.75,90.0,78.75,90.0,123.75,135.0,123.75,135.0,56.25,67.5,56.25,67.5,101.25,112.5,101.25,112.5,78.75,90.0,78.75,90.0,146.25,157.5,146.25,157.5,33.75,45.0,33.75,45.0,-78.75,-67.5,-78.75,-67.5,11.25,22.5,11.25,22.5,168.75,180,168.75,180,123.75,135.0,123.75,135.0,146.25,157.5,146.25,157.5,33.75,45.0,33.75,45.0,-11.25,0.0,-11.25,0.0,168.75,180,168.75,180,-101.25,-90.0,-101.25,-90.0,-146.25,-135.0,-146.25,-135.0,56.25,67.5,56.25,67.5,-101.25,-90.0,-101.25,-90.0,-168.75,-157.5,-168.75,-157.5,-78.75,-67.5,-78.75,-67.5,-146.25,-135.0,-146.25,-135.0,-11.25,0.0,-11.25,0.0,-123.75,-112.5,-123.75,-112.5,-33.75,-22.5,-33.75,-22.5,-168.75,-157.5,-168.75,-157.5,11.25,22.5,11.25,22.5,-33.75,-22.5,-33.75,-22.5,-56.25,-45.0,-56.25,-45.0,-123.75,-112.5,-123.75,-112.5,-56.25,-45.0,-56.25,-45.0,112.5,135.0,112.5,135.0,146.25,157.5,146.25,157.5,-33.75,-22.5,-33.75,-22.5,101.25,112.5,101.25,112.5,33.75,45.0,33.75,45.0,78.75,90.0,78.75,90.0,-146.25,-135.0,-146.25,-135.0
5.5,2.75,4.125,4.125,2.75,4.125,4.125,5.5,8.25,8.25,0,0,2.0625,0,0,0,0,2.0625,0,0,2.0625,0,0,0,0,2.0625,0,0,2.0625,2.0625,2.0625,2.0625,2.75,3.4375,3.4375,2.75,3.4375,3.4375,2.0625,2.0625,2.40625,2.40625,2.0625,2.0625,2.40625,2.40625,5.5,6.875,6.875,2.75,2.75,4.125,4.125,2.75,2.75,4.125,4.125,2.75,2.75,3.09375,3.09375,1.375,1.375,1.71875,1.71875,2.75,2.75,3.09375,3.09375,2.0625,2.0625,2.40625,2.40625,2.0625,2.0625,2.40625,2.40625,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,1.375,1.375,1.71875,1.71875,0.6875,0.6875,1.03125,1.03125,5.5,5.5,6.1875,6.1875,2.0625,2.0625,2.40625,2.40625,2.0625,2.0625,2.40625,2.40625,0,0,0.34375,0.34375,2.0625,2.0625,2.40625,2.40625,0,0,0.34375,0.34375,2.0625,2.0625,2.40625,2.40625
11,4.125,5.5,5.5,4.125,5.5,5.5,8.25,11,11,0.6875,0.6875,2.75,0.6875,0.6875,0.6875,0.6875,2.75,0.6875,0.6875,2.75,0.6875,0.6875,0.6875,0.6875,2.75,0.6875,0.6875,2.75,2.75,2.75,2.75,3.4375,4.125,4.125,3.4375,4.125,4.125,2.40625,2.40625,2.75,2.75,2.40625,2.40625,2.75,2.75,6.875,8.25,8.25,4.125,4.125,5.5,5.5,4.125,4.125,5.5,5.5,3.09375,3.09375,3.4375,3.4375,1.71875,1.71875,2.0625,2.0625,3.09375,3.09375,3.4375,3.4375,2.40625,2.40625,2.75,2.75,2.40625,2.40625,2.75,2.75,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.71875,1.71875,2.0625,2.0625,1.03125,1.03125,1.375,1.375,6.1875,6.1875,6.875,6.875,2.40625,2.40625,2.75,2.75,2.40625,2.40625,2.75,2.75,0.34375,0.34375,0.6875,0.6875,2.40625,2.40625,2.75,2.75,0.34375,0.34375,0.6875,0.6875,2.40625,2.40625,2.75,2.75
1,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
